recall,precision,f1score,auc,accuracy,id,execution_time,shift,q,class_weight,penalty,C,max_iter,solver,tol,feature_to_drop,kline_size,n_limit,random_search
0.86,0.55,0.67,0.81,0.78,0,1.28,-1,0.33,0.51,l2,0.046415888336127774,130,sag,0.05,high,240,4,True
0.85,0.65,0.74,0.81,0.8,1,1.34,-1,0.39,0.64,l2,0.4641588833612777,110,liblinear,0.005,high,240,4,True
0.91,0.56,0.69,0.8,0.75,2,1.47,-1,0.37,0.32,l2,0.4641588833612777,90,liblinear,0.1,imbalance,240,4,True
0.78,0.62,0.69,0.8,0.81,3,17.51,-1,0.34,0.91,l2,0.4641588833612777,130,sag,0.01,maker_ratio,240,4,True
0.91,0.52,0.66,0.8,0.75,4,1.48,-1,0.34,0.3,l2,0.046415888336127774,120,sag,0.1,vwap,240,4,True
0.87,0.59,0.7,0.81,0.78,5,0.93,-1,0.36,0.51,l2,2.154434690031882,30,lbfgs,0.005,high,240,4,True
0.77,0.59,0.67,0.8,0.82,6,1.68,-1,0.32,0.89,l2,0.21544346900318834,70,sag,0.05,maker_ratio,240,4,True
0.9,0.5,0.64,0.8,0.76,7,1.38,-1,0.32,0.34,l2,1.0,60,liblinear,0.1,wilder_rsi,240,4,True
0.73,0.7,0.71,0.79,0.81,8,0.8,-1,0.38,0.93,l2,2.154434690031882,50,lbfgs,0.05,low,240,4,True
0.77,0.64,0.7,0.8,0.81,9,1.48,-1,0.35,0.93,l2,1.0,80,sag,0.1,wilder_rsi,240,4,True
0.87,0.44,0.59,0.81,0.77,10,1.29,-1,0.27,0.36,l2,2.154434690031882,50,liblinear,0.1,PPO,240,4,True
0.63,0.55,0.59,0.76,0.86,11,0.82,-1,0.25,0.8,l2,0.21544346900318834,80,lbfgs,0.05,vwap,240,4,True
0.85,0.46,0.59,0.8,0.77,12,0.61,-1,0.28,0.46,l2,0.09999999999999999,50,lbfgs,0.05,imbalance,240,4,True
0.78,0.59,0.67,0.8,0.81,13,1.07,-1,0.32,0.83,l2,0.01,70,lbfgs,0.01,maker_ratio,240,4,True
0.81,0.59,0.68,0.81,0.81,14,13.14,-1,0.33,0.74,l2,2.154434690031882,70,sag,0.005,low,240,4,True
0.8,0.63,0.71,0.8,0.8,15,0.61,-1,0.37,0.55,l2,0.09999999999999999,130,lbfgs,0.1,PPO,240,4,True
0.89,0.44,0.59,0.81,0.75,16,1.44,-1,0.28,0.3,l2,0.01,90,liblinear,0.01,volume,240,4,True
0.78,0.58,0.67,0.8,0.81,17,4.36,-1,0.32,0.82,l2,0.021544346900318832,110,sag,0.01,imbalance,240,4,True
0.91,0.55,0.69,0.8,0.76,18,1.07,-1,0.36,0.34,l2,0.4641588833612777,100,lbfgs,0.005,maker_ratio,240,4,True
0.7,0.53,0.61,0.79,0.84,19,1.06,-1,0.26,0.94,l2,0.09999999999999999,40,liblinear,0.1,maker_ratio,240,4,True
0.85,0.49,0.62,0.81,0.79,20,0.98,-1,0.29,0.5,l2,0.4641588833612777,80,sag,0.1,volume,240,4,True
0.89,0.49,0.63,0.8,0.76,21,1.04,-1,0.31,0.34,l2,4.641588833612777,140,liblinear,0.05,low,240,4,True
0.72,0.52,0.61,0.79,0.84,22,9.77,-1,0.26,0.88,l2,4.641588833612777,50,sag,0.01,low,240,4,True
0.77,0.46,0.57,0.79,0.81,23,21.65,-1,0.25,0.98,l2,4.641588833612777,110,sag,0.005,atr,240,4,True
0.8,0.7,0.75,0.81,0.81,24,1.44,-1,0.4,0.96,l2,0.09999999999999999,100,sag,0.1,imbalance,240,4,True
0.87,0.41,0.56,0.81,0.78,25,1.58,-1,0.25,0.34,l2,0.01,90,liblinear,0.01,volume,240,4,True
0.76,0.62,0.68,0.8,0.82,26,5.28,-1,0.33,0.98,l2,0.021544346900318832,110,sag,0.01,maker_ratio,240,4,True
0.8,0.56,0.66,0.8,0.8,27,13.55,-1,0.32,0.97,l2,0.09999999999999999,80,sag,0.01,atr,240,4,True
0.76,0.53,0.63,0.8,0.82,28,1.31,-1,0.28,0.79,l2,0.4641588833612777,100,liblinear,0.005,volume,240,4,True
0.85,0.6,0.7,0.81,0.79,29,1.04,-1,0.36,0.75,l2,0.09999999999999999,120,lbfgs,0.005,atr,240,4,True
0.77,0.56,0.64,0.8,0.81,30,0.92,-1,0.3,0.79,l2,0.21544346900318834,80,lbfgs,0.01,high,240,4,True
0.86,0.5,0.63,0.81,0.78,31,1.61,-1,0.3,0.45,l2,0.021544346900318832,120,liblinear,0.005,wilder_rsi,240,4,True
0.8,0.58,0.67,0.8,0.81,32,11.36,-1,0.32,0.77,l2,1.0,60,sag,0.005,imbalance,240,4,True
0.86,0.66,0.75,0.81,0.8,33,1.3,-1,0.4,0.59,l2,1.0,140,sag,0.05,maker_ratio,240,4,True
0.88,0.58,0.7,0.81,0.78,34,1.33,-1,0.36,0.43,l2,1.0,70,sag,0.05,low,240,4,True
0.78,0.69,0.73,0.8,0.81,35,0.65,-1,0.39,0.85,l2,0.01,120,lbfgs,0.05,low,240,4,True
0.88,0.46,0.61,0.81,0.76,36,0.72,-1,0.29,0.36,l2,1.0,140,lbfgs,0.01,high,240,4,True
0.85,0.61,0.71,0.81,0.79,37,26.41,-1,0.37,0.74,l2,4.641588833612777,140,sag,0.005,atr,240,4,True
0.63,0.61,0.62,0.76,0.84,38,0.62,-1,0.29,0.91,l2,0.046415888336127774,100,lbfgs,0.05,low,240,4,True
0.76,0.53,0.63,0.8,0.82,39,1.03,-1,0.28,0.79,l2,0.21544346900318834,120,liblinear,0.05,volume,240,4,True
